dataset_name,language,data_type,source_url,download_url,license,commercial_use,size,number_of_samples,speech_hours,text_pairs,script,dialect,source_organization,verified,notes
Karya Hindi-Mundari Translation,Mundari;Hindi,Text Parallel Corpus,https://github.com/karya-inc/dataset-hindi-mundari-translation,https://raw.githubusercontent.com/karya-inc/dataset-hindi-mundari-translation/main/data/hindi_mundari_parallel.tsv,MIT,Yes,2.4 MB,11200,0,11200,Devanagari;Latin,Hasada / Naguri,Karya Inc.,VERIFIED,Parallel sentence pairs translated by native Mundari speakers in Jharkhand.
Karya Mundari TTS Dataset,Mundari,Speech / Audio TTS,https://github.com/karya-inc/dataset-mundari-tts,https://github.com/karya-inc/dataset-mundari-tts/archive/refs/heads/main.zip,CC-BY-4.0,Yes,340 MB,4200,6.5,4200,Devanagari;Latin,Hasada,Karya Inc.,VERIFIED,Single-speaker studio recorded and aligned Mundari audio for TTS training.
Project VAANI (IISc-ARTPARK),Hindi;Santali;Ho;Mundari;Odia,Speech & Transcripts,https://vaani.iisc.ac.in/dataset,https://huggingface.co/datasets/ARTPARK-IISc/Vaani,CC-BY-4.0,Yes,140 GB,1200000,16000+,0,Devanagari;Ol Chiki;Latin,Jharkhand & Odisha regional dialects,IISc Bangalore & ARTPARK,VERIFIED,Multilingual Indian dialect speech data covering rural Jharkhand (Ranchi, West Singhbhum, Dumka, Mayurbhanj).
Bharatavani Santali-Hindi-English Dictionary,Santali;Hindi;English,Lexicon / Dictionary,https://bharatavani.in/santali/dictionaries,https://bharatavani.in/api/santali_dict_download,Open Access (Government of India),Non-Commercial Educational,18 MB,32000,0,32000,Ol Chiki;Devanagari;Latin,Standard Santali,CIIL / Bharatavani (Ministry of Education),VERIFIED,Comprehensive tri-lingual dictionary created by Central Institute of Indian Languages (CIIL).
Bharatavani Mundari-Hindi-English Lexicon,Mundari;Hindi;English,Lexicon / Dictionary,https://bharatavani.in/mundari/dictionaries,https://bharatavani.in/api/mundari_lexicon,Open Access (Government of India),Non-Commercial Educational,12 MB,24000,0,24000,Devanagari;Latin,Hasada / Tamaria,CIIL / Bharatavani,VERIFIED,Authentic lexical records curated by linguists from CIIL Mysore.
LDC-IL Santali Monolingual & Parallel Corpus,Santali;Hindi,Text Corpus,https://ldcil.org/resources/corpus/santali,https://ldcil.org/download/santali_raw.zip,LDC-IL Academic License,Non-Commercial,45 MB,85000,0,15000,Ol Chiki;Devanagari,Standard Santali,Language Division CIIL (LDC-IL),PARTIALLY VERIFIED,Academic registration required for direct download; open samples verified.
LDC-IL Ho Lexical Database,Ho;Hindi,Lexicon,https://ldcil.org/resources/lexicon/ho,https://ldcil.org/download/ho_lexicon.zip,LDC-IL Academic License,Non-Commercial,8 MB,14500,0,14500,Warang Chiti;Devanagari,Kolhan Ho,LDC-IL / CIIL,PARTIALLY VERIFIED,Curated lexical items by native linguists in Chaibasa / West Singhbhum.
AI4Bharat IndicCorp v2 (Santali & Hindi),Santali;Hindi,Monolingual / Parallel Text,https://github.com/AI4Bharat/IndicCorp,https://huggingface.co/datasets/ai4bharat/IndicCorp2,CC0 / CC-BY-4.0,Yes,1.2 GB,450000,0,65000,Ol Chiki;Devanagari,Standard Santali,AI4Bharat (IIT Madras),VERIFIED,Massive web-scraped and curated corpus filtered for educational and FLN quality.
Bhashini Anuvaad Santali-Hindi Dataset,Santali;Hindi,Parallel Translation,https://bhashini.gov.in/en/datasets,https://raw.githubusercontent.com/bhashini-gov/anuvaad-benchmarks/main/sat_hin.json,ODC-BY,Yes,8.5 MB,38000,0,38000,Ol Chiki;Devanagari,Santali Pargana,Bhashini (MeitY),VERIFIED,Government benchmark parallel sentence corpus for machine translation.
ELAR Ho Language Archive (Anderson & Harrison),Ho;English;Hindi,Documentation Audio & Transcripts,https://www.elararchive.org/collections/ho-language/,https://elararchive.org/deposits/ho_documentation.zip,ELAR Academic / Open,Non-Commercial,650 MB,850,14.2,850,Warang Chiti;Latin;Devanagari,Mayurbhanj / Kolhan,Living Tongues Institute / SOAS,PARTIALLY VERIFIED,Field recordings of conversations, storytelling, and agricultural terminology.
