hindi_text	santali_text_olck
सुप्रभात, बच्चों।	ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ, ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱾
सभी बच्चे अपनी जगह पर बैठ जाएँ।	ᱥᱟᱱᱟᱢ ᱜᱤᱫᱽᱨᱟᱹ ᱟᱯᱱᱟᱨ ᱴᱷᱟᱶ ᱨᱮ ᱫᱩᱲᱩᱵ ᱯᱮ ᱾
अपनी किताब खोलो।	ᱟᱢᱟᱜ ᱯᱩᱛᱷᱤ ᱡᱷᱤᱡᱽ ᱢᱮ ᱾
अपनी कॉपी निकालो।	ᱟᱢᱟᱜ ᱠᱷᱟᱛᱟ ᱚᱰᱚᱠ ᱢᱮ ᱾
ध्यान से सुनो।	ᱱᱟᱯᱟᱭ ᱛᱮ ᱟᱸᱡᱚᱢ ᱯᱮ ᱾
मेरी बात दोहराओ।	ᱤᱧᱟᱜ ᱠᱟᱛᱷᱟ ᱫᱚᱦᱲᱟᱭ ᱯᱮ ᱾
आज हम एक नया पाठ पढ़ेंगे।	ᱛᱮᱦᱮᱧ ᱫᱚ ᱟᱵᱚ ᱢᱤᱫ ᱱᱟᱣᱟ ᱯᱟᱴᱷ ᱵᱚ ᱯᱟᱲᱦᱟᱣᱟ ᱾
क्या सबको समझ में आया?	ᱪᱮᱫ ᱥᱟᱱᱟᱢ ᱠᱚ ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱫ-ᱟ?
अगर कोई सवाल है तो पूछो।	ᱡᱩᱫᱤ ᱡᱟᱦᱟᱸᱱ ᱠᱩᱠᱞᱤ ᱢᱮᱱᱟᱜ-ᱟ ᱮᱱᱠᱷᱟᱱ ᱠᱩᱞᱤᱭ ᱯᱮ ᱾
बोर्ड की तरफ देखो।	ᱵᱚᱨᱰ ᱥᱮᱫ ᱠᱚᱭᱚᱜ ᱯᱮ ᱾
