hindi_text	mundari_text
वे भी कमजोर पड़ रहे हैं	इनकु कमजोरोःतानाको
इनमें यदि और बढ़ोतरी हो तो और भी अच्छा।	नेआको रे ओड़ोःगे सानाडगि होबाजान रे ओड़ोःगे बुगिना।
उन्होंने शादी करने का भी वादा किया था	इनिः आड़ानदि रिका राः किरिआओ जोमलाःए
मैं आधे अधूरे पेट उठा तो दूसरी समस्या शुरू।	आञ तारा पेरेः लाइः बिरिदकेनाञ दो एटाः बालाए एटेः।
इस सुविधा के कारण इतिहासकार ईश्र्वर हो जाता है।	नेआ रानाबाल मेनते इतिहास ओलको बोङगासामको लेकाओःआ
वह पास्ट में सब कुछ खो चुका है।	इनिः सिदा रे सोबेनाः आदउतारतादाएः।
अदिति शायद अब जिंदगी भर यही दोहराती रहेगी।	आदिति गोटा जिनिद नेआगे खाने काजिबेड़ाएआएः।
इसलिए वे हमारे दोस्त नहीं हो सकते।	नेआ मेनते इनकु आलेआः सोङगे काको बाइ दाड़िओःआ।
और उस दिन ये हवेली हँस रही थी मौज में	आर एन हुलाङ एन हवेली लानदातान ताइकेना रासिकाते
हरेप्रकाश उपाध्याय ने अब तक किया क्या है?	हारेप्रकाश उपाध्याय नाआः जाकेद चानाःए चिकातादाएः?
रात में जहाज हजार द्वारी में लंगर डाल लेता है।	निदा जाआज जहार द्वारी रे लाङगार उयुःएआए।
उसी से तो मेरा काम चलता है।	एना ते गे आञाः कामि चालाओआ।
दो बार की फ्लैग मीटिंग्स बेनतीजा रहीं।	बार साः राः फ्लैग मीटिंगको बेगार नतीजा राः ताइनजाना।
मुझे तो उसकी दरबानी बहुत है	आञ दो इनिआः दरबानी बेसे मेनाः
लालू और मुलायम से बात की जा रही है।	लालू आर मुलायम लोः जागार होबाओताना।
यही कि तुम्हारे साथ ऐसा हुआ।	नेआ गे चि आम लोः नेका होबाजाना।
मैंने तो देखना ही बन्द कर दिया है।	आञ दो लेल गे होकाजानाञ।
जाने पर अपनी सहमति व्यक्त की।	सेन नातिन हेए केदा।
दूसरा पहले से आगे निकलना चाहता है।	एटाः निः सिदा रे गे आयार सेन सानाङाएः।
यूपी इलेक्शन वॉच की सूचना के मुताबिक उत्तर प्रदेश विधान	यूपी इलेक्शन वॉच राः उनुदुब होरा ते उत्तर प्रदेश विधान
तुम्हारे कारण एक बार आईना है आपके	आमाः नातिन मोसा आईना मेनाः आमाः
यहां कभी भी माओवादी घटना को अंजाम दे सकते हैं।	नेताः रे जाआं इमताङो माओवादी ताको जाआन घाटना रिका दाड़िआको।
शीतला को खेद हुआ कि उन्होंने मुझे देख लिया।	शीतला गिउःगे टोओर केदाएः चि इनिः आञे लेललिञाएः।
हमारे दरवाजे तक पहुंच गया है।	आलेआः दुआर जाकेद तेबातादा।
उन्हें झूठ बोलना बंद कर देना चाहिए।	इनकु होसोड़ो होका लागातिङा।
बरक्स उनके जो पेडोमीटर स्तेमाल नहीं कर रहे थे।	उलटा इनकु ओकोएः पेडोमीटर कामि रे काको आउजादताइकेना।
सौ बुराईयों की जड़ एक शराब है।	साए काबुगिन काजि राः रेएद मिआद आरकि मेनाः।
अब सारी प्रक्रिया फिर से शुरु होगी।	नाआः सोबेन कामि सिदा ते एटेगोआ।
बैठक को अन्य भाजपाईयों ने भी संबोधित किया।	दुनुब रे एटाः भाजपा रेन होड़ोकोओ जागारलेदा।
उसे घसीटता हुआ गुंडा अपने साथ ले गया।	एदकान होड़ोः इनीः ओर इदिकिःआए।
और इस मामले में उनकी भूमिका अग्रणी थी।	आर नेआ मामला रे इनिः रिकातानको रे आयार गे ताइकेनाएः।
और क्योंकि ये नगर कालका का मामला था।	आर चिआचि नेआ नगर कालका राः मामला ताइकेना।
तब तक वहाँ घने जंगल थे।	एन सोमाए दो एनताः बेसे बिर ताइकेना।
प्रेस कांफ्रेंस में आने वाले तो बस कर्मचारी भर हैं।	प्रेस कोनफेरेनस रे हिजुःलेनको कर्मचारी बाआरिको मेनाःकोआ।
पहली बार किसी धार्मिक जुलूस में इतना रोमांटिक दृश्य देखा।	जाआन धोरोम राः जुलुस रे निमनाङ रोमानटिक लेनेल नाआः जाकेद काञ लेललाः।
मैं कैसे जानूँ कि सउनको मुझसे मुहब्बत है।	चिलका तेञ टोओरेआ चि इनिः आञे सुकुआञतानाएः।
फ़िल्म में ग्लैमर है थिएटर में नहीं है	फिलिम रे ग्लैमर मेनाः थिएटार रे बानोः
इस कारण उन्हें नया कंप्यूटर शिक्षक रखना पड़ा।	नेआ मेनते इनकु नावा कंप्यूटार पाड़ाओतेनिः जोगाओ टोःजाना
कॉरपोरेट कंपनियाँ शाहिद की लोकप्रियता को भुनाना चाहती हैं।	कारपोरेट कम्पनिताको शाहिद राः नुतुम कामि रे आउ सानाङतानाको।
हीरालाल का गुरुवार शाम मोही में अंतिम संस्कार किया गया।	हीरालाल राः गुरुवार आयुम मोही रे हासागाड़ा होबाजाना।
घर बार सब जल उठा।	ओड़ाः दुआर सोबेन ओनडोताना।
इससे मस्तिष्क को कम से कम कष्ट होता है।	नेआ ते हाताङ हुड़िङ ते हुड़िङ हासुआ।
जनजाति क्षेत्रों पर राज्यपालों की दो दिवसीय बैठक सम्पन्न	आदिवासी दिसुम चेतान रे राज्यपालकोआः बारसिङ राः दुनुब चाबा
आज सुबह उसकी मौत हो गई।	तिसिङ सेताः इनिः बाङगाइःजाना।
आते हुए ट्रेफिक के विशाल प्रकाश पुंज	हिजुःतान ट्रेफिक राः माराङ मारसाल पुंज
एक विशिष्ट शान्ति के साथ वह सोने चली गई।	मिआद एटाः हानापे लोः इनिः गितिः सेनोःजानाएः।
क्यों मीण्डी बुआ को परेशान करता है जोगिया।	चानाः मेनते मिण्डि हातोमेः बालाएइआः जोगिआ।
कौन सुरभि की दिव्य बेलि प्राणॉ मॅ गमक उठी है?	ओकोएः सुरभि राः दिव्य बेलि प्राणॉ मॉ सोआन एटेःआकान?
लोग रंगकर्मी के पसन्द कर रहे है।	होड़ोको नाटकतानको सुकुजाःकोआको।
इन्होंने अपनी लेखनी को इन नवीन विषयों पर चलाया।	निकु आपान ओनोलको नेआ नावा विषयको रे चालाओतादा।
आज गोकुल में भगवान श्रीकृष्ण पहुंच गये।	तिसिङ गोकुल रे भोगोमान श्रीकृष्ण तेबाःतादाएः।
इस भ्रामक नामकरण पर किसीको बड़ी आपत्ति नहीं थी।	नेआ का मुनडिओः साकि ते जाआएआः आपत्ति का ताइकेना।
इसके लिये समाजिक सोच में परिवर्तन होना पड़ेगा।	नेआ नातिन सामाजिक उड़ुः बादिलि लागातिङा।
जिसके बाद दोनों पक्षों के मध्य झड़पें आरंभ हो गयीं।	ओकोआ तायोम बारान पक्ष ताला ते गोपोएः एटेःजाना।
घटना के बाद से आरोपी फरार हो गया है।	होबालेनाः तायोम ते आरोपी निर जानाएः।
बड़ी बिटिया के ससुर दुआर पर लेटे हैं।	माराङ कुड़िआः होनजार दुआर रे बाटिआकानाएः।
