hindi_text	mundari_text
यह अर्दवगोलाकार रोशनी मिट जाने के प्श्चात मुण्डा लोग कहते हैं लूर साँप् के फूँक देवों ने काटकर मिटा दिया, काफी कम करा बारिस होगी।	ने कुटिद्अकन अरतङ मेटवजनते मुनडाको मेनेअ, लूर बिङअः ओङ बोंगाको मअः मेटवकेदाः इसु हुड़िङ हुड़िङगे गमा होबाओःअ।
दो पत्नीवाला मनुष्य या दो पति वाली स्त्री	बार एराआकन कोड़ा चा बारकोड़ाआकान कुड़ि
चुनें माउस का उपयोग कर प्रतीक का आयताकार खण्ड चुनें	सालाओःका माउस कामिरे आउकेदाते चिना दो उपुनकोना रआः हिसा सालाओःका।
हमारे युवा - अपनी कल्पना, आकांक्षा और आदर्शों के बल पर - देश को आगे ले जाएंगे।	अबुअः दंगड़ाको - अपन कल्पना, आकांक्षा ओड़ो आदर्श कोरअः पेड़ेः ते - दिसुम अयर तेको इदिया।
आज कितने ही ऐसे पक्षी जो प्रदूषण और शोर–शराबे में ओझल हो गए थे, सालों बाद उनकी आवाज़ को लोग अपने घरों में सुन रहे हैं I	तिसिङ चिमिनाङ गे चेडेञ को दो प्रदुषण ओड़ो काकला कोते बलू गिड़िया काना, चिमिन सिरमा तयोम ते ने चेंड़ेय कोआ रनअः होड़ोको अकाअ ओड़ाः रेको अयुम जादा।
यहां आप घंटों तक बैठे रह सकते हैं।	नेता: अम धंटा जकेद् दुब दड़िअ
चक्की एक तरह से सीमा पर स्थित है।	चक्की मोद् लेका तेदो सिमान रेगे मेना:।
बेहद लंबा संघर्ष है और इसका फल अच्छा मिलेगा।	बेसे जिलिङ संघर्ष मेना: ओड़ो: नेआरा: फल माजा नामो:गा।
अब उसके बूब्स मेरी छाती से लग रहे थे।	नअःदो इनिःअ जरोमाकन कुड़म अइंगअः कुड़म लोओःते टेकद् कते तइन केनाए।
इसका इलाज प्रारंभिक अवस्था में किया जाता है।	नेयगा रानू सुरु रे गी कमी धाबेयको
अधिक घने से बचने के लिए कुछ पौधे को निकल कर हटा दिए जाते हैं।	अदिका इबिलन आते बनचव नङ मेनते तरा पौधा को के उड़ुङ केआते अतोमो तना
शहर और देहात का अंतर और अधिक बढ़ गया।	शहर अर देहात रेअः सपागिइंग ओड़ोःगे अदिका होबा जना।
लेकिन हमारी समस्याओं का अंत वहीं नहीं हुआ।	मेनदो आलेआः बालाए को एनताः रेगे का चाबाजाना।
एक दिन केवल लकड़ियों की चीराई करने वाले शिकार के लिए चले गये और तीन हिरणों को मारा गया और उनलोगों को बड़ी खुशी हुई और उन लोगों ने कहा - ‘‘अब एक सप्ताह में हमलोग एक बार शिकार करने जायेंगे या मछलियों को छींटेंगे।’’	मुसिङ दो दरु हद्तनको बारिको सेनदेराजना, अद् अपिअ सिलिब्कोको गोए-अना, अद् कूब् रसिकाकेद्कोअ अद्को मेनकेदा, “नाअःदो पीटि हपतारे मिसाबु सेनदेरअःअ, कारे, हइकोबु अरेःअ।”
वे बिल के पक्ष में नहीं है।	इनकुः आइन (बिल) साःरे बाङ कोआ।
जिन्हें दंगा कराना था करा चुके।	ओकोए के दंगा रिका: तइकेना रिका केदाय
इसके बाद गुलाम अली ने पीछे मुड़कर नहीं देखा।	ने तायोमते गुलाम अली तायोम बिउरकेाते काए लेलकेदाए।
